song_id,song_hotness,tempo,duration,loudness
1,0.6021199899057548,92.198,218.93179,-11.197
2,0.0,121.274,148.03546,-9.843
3,0.0,100.07,177.47546,-9.689
4,0.0,119.293,233.40363,-9.013
5,0.6045007385888197,129.738,209.60608,-4.501
6,0.0,147.782,267.7024,-9.323
7,0.0,111.787,114.78159,-17.302
8,0.0,101.43,189.57016,-11.642
9,0.26586104921065007,86.643,269.81832,-13.496
10,0.0,114.041,266.39628,-6.697
11,0.0,146.765,218.77506,-10.021
12,0.26586104921065007,117.975,245.21098,-7.545
13,0.0,130.04,226.35057,-6.632
14,0.0,137.334,191.84281,-7.75
15,0.0,125.197,307.3824,-8.346
16,0.4051157216913865,119.826,491.12771,-8.576
17,0.3347065490692206,127.756,228.5971,-16.11
18,0.0,99.273,599.24853,-8.032
19,0.6841361912294903,150.062,290.29832,-5.271
20,0.0,138.331,165.69424,-6.787
21,0.0,86.186,151.84934,-15.221
22,0.0,110.382,220.78649,-8.514
23,0.3135621142479342,111.874,269.58322,-8.05
24,0.6665278462297023,166.862,207.77751,-4.264
25,0.4952936212921635,137.522,124.86485,-12.332
26,0.37598430150044215,164.672,225.09669,-5.908
27,0.0,125.006,338.31138,-6.486
28,0.0,90.022,186.48771,-4.516
29,0.0,127.025,168.25424,-9.616
30,0.0,95.957,156.39465,-18.051
31,0.4137398358601097,110.189,342.56934,-11.939
32,0.3775316449767025,138.007,484.62322,-15.335
33,0.4432913119053975,130.1,164.80608,-10.922
34,0.0,160.839,133.32853,-9.983
35,0.0,41.993,173.66159,-7.762
36,0.0,189.646,313.12934,-9.512
37,0.593943075901947,130.586,450.84689,-9.063
38,0.0,128.292,303.09832,-8.879
39,0.3943948561005826,90.932,128.83546,-17.699
40,0.0,89.667,456.30649,-19.478
41,0.450992311636255,115.061,198.73914,-7.469
42,0.5287824809425877,115.887,95.68608,-2.022
43,0.8344926198909054,139.333,271.49016,-10.358
44,0.0,117.271,226.66404,-12.716
45,0.5101193140330347,102.428,190.48444,-15.663
46,0.48213758506501503,89.984,277.78567,-6.944
47,0.0,116.721,248.78975,-7.805
48,0.0,123.142,195.3171,-10.7
49,0.7858922883883538,141.919,175.72526,-10.93
50,0.0,95.596,217.23383,-9.493
51,0.5616924111789523,154.953,344.05832,-9.253
52,0.4348380902608562,86.091,251.42812,-12.009
53,0.4051157216913865,90.218,269.7922,-11.043
54,0.0,133.144,206.05342,-11.506
55,0.0,205.317,190.04036,-14.179
56,0.767727748373397,180.149,241.162,-8.531
57,0.4348380902608562,102.538,122.64444,-8.541
58,0.38293509007501925,84.164,207.0722,-6.629
59,0.6104742577715245,124.175,300.79955,-13.33
60,0.2265553139555314,137.004,228.46649,-12.412
61,0.4159831182884585,106.33,239.59465,-21.552
62,0.0,107.961,228.93669,-8.686
63,0.0,174.287,165.61587,-6.222
64,0.6859402266976852,116.823,187.92444,-5.907
65,0.0,101.972,276.50567,-4.638
66,0.0,127.97,200.25424,-5.884
67,0.6712360269845353,152.622,144.50893,-7.787
68,0.0,110.787,285.17832,-8.488
69,0.6261657596688281,112.903,246.69995,-9.603
70,0.0,115.642,84.03546,-26.266
71,0.1992382620006783,125.013,273.52771,-6.305
72,0.26586104921065007,113.277,298.84036,-9.998
73,0.23773394162247466,96.979,161.38404,-9.161
74,0.8244821296824321,140.995,209.29261,-4.865
75,0.6244254932707666,105.206,229.61587,-4.882
76,0.6355366486226686,63.017,426.89261,-12.951
77,0.0,144.603,269.26975,-11.751
78,0.19878534876524423,167.92,249.41669,-6.693
79,0.0,129.122,136.48934,-9.091
80,0.0,132.022,233.27302,-2.658
81,0.24906579485370342,183.92,187.24526,-4.42
82,0.0,89.867,72.61995,-11.051
83,0.0,119.896,272.63955,-9.97
84,0.0,137.29,142.75873,-11.335
85,0.3827232807891977,82.343,194.11546,-15.581
86,0.0,91.487,195.91791,-11.98
87,0.0,84.69,118.33424,-11.215
88,0.7251212835673101,115.606,288.41751,-8.165
89,0.0,126.523,123.21914,-12.69
90,0.6651722407621973,113.677,283.76771,-8.7
91,0.5546547674656118,86.938,239.3073,-5.758
92,0.30416950343527516,141.936,206.75873,-4.907
93,0.0,106.049,134.81751,-8.133
94,0.0,126.88,285.64853,-9.093
95,0.5701059300583878,85.008,124.18567,-10.296
96,0.0,133.699,134.08608,-12.839
97,0.0,118.975,155.61098,-13.71
98,0.0,102.408,275.40853,-2.119
99,0.0,112.006,223.4771,-14.438
100,0.2707759989463275,45.527,443.24526,-13.002
101,0.0,85.621,177.81506,-12.004
102,0.0,108.061,385.33179,-8.37
103,0.4051157216913865,216.195,324.44036,-11.829
104,0.24274187894946822,132.428,275.12118,-6.29
105,0.3867901771390143,168.307,294.66077,-15.761
106,0.0,140.956,193.20118,-27.433
107,0.5112548351002428,130.016,357.82485,-5.701
108,0.46048484498641545,175.769,198.3473,-8.709
109,0.48828987603734525,100.194,261.95546,-13.627
110,0.0,151.911,176.27383,-11.479
111,0.0,119.691,220.89098,-6.302
112,0.0,161.976,235.91138,-10.466
113,0.0,172.398,239.59465,-9.275
114,0.0,109.823,171.49342,-37.398
115,0.0,90.101,266.05669,-13.836
116,0.34580223396532944,116.473,329.27302,-7.103
117,0.3335548072764493,126.821,198.922,-13.495
118,0.6173656175717818,111.191,283.21914,-15.144
119,0.0,125.508,238.68036,-12.991
120,0.3943948561005826,137.888,254.06649,-6.01
121,0.0,150.012,184.31955,-5.58
122,0.0,108.367,311.40526,-4.313
123,0.3747968370214053,173.482,162.53342,-17.285
124,0.0,110.745,212.37506,-5.931
125,0.26586104921065007,130.027,338.33751,-14.248
126,0.23379647424179947,110.168,126.51057,-12.651
127,0.0,97.976,205.58322,-16.056
128,0.21508031850922793,119.979,193.4624,-5.913
129,0.0,156.968,127.4771,-5.541
130,0.0,188.886,234.762,-6.019
131,0.46630483075728635,133.306,292.8322,-4.953
132,0.48061061838775304,152.267,241.10975,-18.114
133,0.2656833797102308,166.275,270.68036,-11.061
134,0.0,114.971,188.73424,-7.04
135,0.0,144.651,211.80036,-15.358
136,0.0,152.005,254.32771,-11.213
137,0.0,155.074,210.36363,-5.904
138,0.34580223396532944,61.971,301.81832,-8.095
139,0.8251735403780842,124.04,416.80934,-7.982
140,0.0,191.196,413.36118,-8.804
141,0.0,152.127,117.002,-5.699
142,0.7373853102276186,100.023,217.36444,-5.152
143,0.0,192.688,122.72281,-9.965
144,0.47212111953959446,154.322,203.98975,-11.976
145,0.0,236.006,192.44363,-10.229
146,0.39200877147130697,150.666,285.36118,-6.284
147,0.0,175.421,225.12281,-3.818
148,0.0,104.153,123.66322,-4.633
149,0.0,127.278,525.16526,-5.602
150,0.2364201822307364,160.165,204.06812,-5.157
151,0.0,86.091,166.00771,-1.925
152,0.0,149.94,219.01016,-5.21
153,0.4444017145228514,135.78,127.9473,-12.717
154,0.0,122.967,570.90567,-12.28
155,0.0,142.024,230.00771,-9.748
156,0.5430528641992896,135.535,240.74404,-4.878
157,0.6085000789194116,139.189,192.20853,-23.988
158,0.0,128.598,152.0322,-9.414
159,0.0,163.445,215.30077,-9.741
160,0.0,114.027,155.21914,-11.965
161,0.0,111.316,207.12444,-12.779
162,0.6593046691644056,105.994,428.56444,-8.403
163,0.0,88.489,185.7824,-13.251
164,0.6266128026956008,118.433,654.28853,-5.884
165,0.2707759989463275,96.007,306.72934,-6.929
166,0.0,187.807,229.51138,-4.198
167,0.0,181.115,205.58322,-6.998
168,0.4944895175021134,148.357,127.05914,-12.772
169,0.30416950343527516,136.164,44.35546,-18.147
170,0.0,126.941,203.83302,-7.661
171,0.0,159.582,176.50893,-17.308
172,0.5194485814940588,89.495,140.66893,-28.347
173,0.0,102.259,201.09016,-2.869
174,0.0,107.529,254.79791,-7.309
175,0.0,99.408,143.0722,-15.351
176,0.0,79.731,163.49995,-25.694
177,0.0,188.502,289.64526,-9.435
178,0.40565219615969267,133.729,124.15955,-4.793
179,0.4454545254934259,139.136,167.3922,-17.623
180,0.0,193.693,321.35791,-6.2
181,0.0,76.693,263.94077,-19.821
182,0.0,126.95,341.36771,-9.632
183,0.0,144.812,333.13914,-5.671
184,0.0,138.003,349.12608,-11.708
185,0.0,130.284,168.56771,-16.968
186,0.0,152.013,350.71955,-13.038
187,0.0,159.968,175.62077,-10.647
188,0.5430528641992896,75.031,190.24934,-4.172
189,0.0,150.837,255.16363,-10.756
190,0.0,143.231,120.2673,-3.422
191,0.0,123.993,557.26975,-12.26
192,0.3509795063714294,97.981,187.53261,-23.527
193,0.0,137.288,295.60118,-9.435
194,0.0,168.323,252.02893,-8.639
195,0.5708506420788445,111.079,329.35138,-7.672
196,0.0,133.009,180.00934,-13.668
197,0.23584620327944406,146.577,244.45342,-6.885
198,0.0,140.458,282.53995,-4.2
199,0.263969820176701,132.506,388.28363,-16.433
200,0.4471357962861778,153.862,345.93914,-6.951
201,0.0,93.238,243.1473,-14.737
202,0.7140465527721864,124.086,261.74649,-9.628
203,0.0,66.765,172.25098,-8.46
204,0.4137398358601097,145.518,216.60689,-3.736
205,0.0,139.998,363.59791,-4.376
206,0.319565986882865,90.648,271.77751,-6.947
207,0.0,140.334,330.65751,-12.279
208,0.3603705827121406,89.86,133.27628,-15.736
209,0.5669884440404037,156.097,264.69832,-5.871
210,0.0,179.501,228.51873,-12.053
211,0.0,86.689,240.3522,-6.248
212,0.0,160.261,145.57995,-13.703
213,0.2538347361322313,101.03,235.80689,-9.716
214,0.5194030457366698,155.038,192.1824,-6.258
215,0.4373517613872757,117.168,418.87302,-11.702
216,0.6765489056009939,132.967,198.26893,-14.509
217,0.0,139.91,420.10077,-9.062
218,0.46054128135865785,95.882,397.26975,-6.788
219,0.4952936212921635,135.175,229.79873,-12.772
220,0.0,121.983,150.64771,-9.258
221,0.0,169.775,286.14485,-24.597
222,0.0,137.862,384.70485,-8.161
223,0.0,83.326,415.03302,-6.751
224,0.0,117.667,133.53751,-29.295
225,0.0,90.908,266.70975,-12.658
226,0.0,151.953,284.3424,-6.546
227,0.0,161.054,179.06893,-17.522
228,0.0,159.895,100.5971,-10.777
229,0.0,128.219,320.60036,-9.993
230,0.0,101.229,302.36689,-12.99
231,0.0,98.859,284.70812,-8.339
232,0.6885218441194627,125.975,327.8624,-6.531
233,0.5578803889070679,154.09,286.30159,-6.933
234,0.0,124.237,356.49261,-4.178
235,0.0,97.099,168.75057,-8.91
236,0.0,140.63,201.56036,-2.069
237,0.0,101.41,185.67791,-16.844
238,0.696469436584313,186.254,218.8273,-3.803
239,0.21508031850922793,210.47,303.04608,-10.57
240,0.0,94.057,224.522,-6.694
241,0.0,100.349,315.27138,-16.753
242,0.0,124.009,275.06893,-4.376
243,0.5452302938983613,90.084,191.81669,-38.525
244,0.4471357962861778,106.698,177.24036,-1.843
245,0.7841946159560662,89.78,233.58649,-3.937
246,0.21425344896156936,107.177,38.3473,-16.006
247,0.0,152.258,100.85832,-19.794
248,0.0,134.083,485.19791,-7.614
249,0.0,106.398,239.01995,-10.274
250,0.0,160.022,288.49587,-5.912
251,0.0,101.492,151.53587,-7.108
252,0.0,86.141,160.28689,-15.578
253,0.6217655825179751,120.097,181.55057,-9.334
254,0.0,128.173,70.26893,-16.942
255,0.6068163271702843,88.835,173.24363,-6.021
256,0.0,105.24,155.74159,-13.135
257,0.0,162.385,148.03546,-6.893
258,0.0,109.636,94.06649,-9.506
259,0.8737024949104306,108.264,241.52771,-7.255
260,0.0,119.524,226.82077,-7.684
261,0.3231121208952123,97.76,106.52689,-12.385
262,0.5375039041917102,241.877,224.28689,-4.779
263,0.5473248320344863,91.328,340.29669,-11.356
264,0.4943573242520118,130.062,216.55465,-8.147
265,0.3603705827121406,68.734,279.2224,-6.582
266,0.0,94.658,158.56281,-16.527
267,0.34580223396532944,102.055,234.44853,-10.173
268,0.46264318259167037,109.065,155.95057,-14.123
269,0.0,184.981,233.53424,-5.483
270,0.4051157216913865,201.802,256.80934,-7.307
271,0.0,119.67,234.65751,-12.75
272,0.0,105.181,163.76118,-10.328
273,0.0,165.668,159.03302,-9.668
274,0.0,188.056,214.04689,-5.444
275,0.0,143.97,301.06077,-4.144
276,0.6153722556990726,61.883,109.37424,-18.349
277,0.0,0.0,151.82322,-20.964
278,0.0,163.167,287.11138,-11.877
279,0.1938578025491923,144.836,239.98649,-5.627
280,0.6586239272874229,108.499,229.642,-1.998
281,0.0,193.978,143.98649,-7.901
282,0.19473522935003107,88.935,153.20771,-8.798
283,0.2742817042441851,91.69,316.65587,-5.934
284,0.3127699195304257,210.8,182.09914,-10.7
285,0.41967427880955327,82.205,205.21751,-4.332
286,0.0,121.563,131.05587,-15.672
287,0.5316127691991754,162.682,316.73424,-15.54
